name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
request_112	100	0	100	0	-1	0	1480	-1	1480	96	-1	96	226	-1	226	510	-1	510	510	-1	510	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_113	100	0	100	0	-1	0	2350	-1	2350	118	-1	118	431	-1	431	1530	-1	1530	1580	-1	1580	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_114	100	0	100	0	-1	0	2250	-1	2250	143	-1	143	536	-1	536	2240	-1	2240	2250	-1	2250	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_115	100	0	100	0	-1	0	730	-1	730	430	-1	430	247	-1	247	690	-1	690	700	-1	700	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_116	100	0	100	0	-1	0	550	-1	550	33	-1	33	117	-1	117	450	-1	450	510	-1	510	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_117	100	0	100	0	-1	0	560	-1	560	15	-1	15	78	-1	78	10	-1	10	560	-1	560	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_118	100	0	100	0	-1	0	910	-1	910	143	-1	143	313	-1	313	890	-1	890	890	-1	890	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_119	100	0	100	0	-1	0	560	-1	560	87	-1	87	194	-1	194	550	-1	550	560	-1	560	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_79	100	1	99	0	2740	0	2740	2740	2150	153	2740	127	441	0	359	1250	2740	1250	2150	2740	1310	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	1	failed	99	99	0	0	0
request_77	100	1	99	0	3020	0	4000	3020	4000	709	3020	686	715	0	679	1540	3020	1350	3990	3020	3990	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	1	failed	99	99	0	0	0
request_78	100	1	99	0	1800	0	1800	1800	1400	69	1800	51	248	0	178	70	1800	70	1400	1800	680	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	1	failed	99	99	0	0	0
request_130	100	0	100	0	-1	0	400	-1	400	12	-1	12	65	-1	65	10	-1	10	400	-1	400	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_131	100	0	100	0	-1	0	660	-1	660	99	-1	99	205	-1	205	590	-1	590	600	-1	600	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_60	100	7	93	1500	1500	1500	4020	3260	4020	2548	2461	2554	599	534	605	3830	3260	3830	3950	3260	3950	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	7	failed	93	93	0	0	0
request_61	100	3	97	1530	1760	1530	5080	5080	4690	2818	3397	2800	805	1355	775	4530	5080	4170	4690	5080	4680	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	3	failed	97	97	0	0	0
request_62	100	4	96	1490	1900	1490	5090	4730	5090	3288	3455	3281	970	1223	958	4880	4730	4880	5050	4730	5050	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	4	4	failed	96	96	0	0	0
request_63	100	4	96	0	2620	0	5080	3860	5080	2374	3268	2337	1624	586	1642	4690	3860	4690	4970	3860	4970	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	4	4	failed	96	96	0	0	0
request_64	100	3	97	0	1960	0	5060	4490	5060	1718	3070	1676	1623	1056	1620	4700	4490	4700	5050	4490	5050	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	3	failed	97	97	0	0	0
request_65	100	1	99	0	2210	0	4580	2210	4580	927	2210	914	1222	0	1221	3630	2210	3630	4340	2210	4340	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	1	failed	99	99	0	0	0
request_67	100	0	100	0	-1	0	4970	-1	4970	870	-1	870	1402	-1	1402	4010	-1	4010	4960	-1	4960	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_66	100	1	99	0	2500	0	3560	2500	3560	910	2500	894	1032	0	1025	2750	2500	2750	2970	2500	2970	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	1	failed	99	99	0	0	0
request_69	100	3	97	0	2870	0	3940	3910	3940	572	3327	487	1026	431	915	2870	3910	2690	3910	3910	3900	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	3	failed	97	97	0	0	0
request_68	100	0	100	0	-1	0	4990	-1	4990	1291	-1	1291	1360	-1	1360	4650	-1	4650	4940	-1	4940	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_129	100	0	100	0	-1	0	1180	-1	1180	54	-1	54	169	-1	169	480	-1	480	500	-1	500	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_128	100	0	100	0	-1	0	600	-1	600	65	-1	65	158	-1	158	550	-1	550	600	-1	600	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_127	100	0	100	0	-1	0	30	-1	30	4	-1	4	6	-1	6	20	-1	20	30	-1	30	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_126	100	0	100	0	-1	0	1500	-1	1500	74	-1	74	176	-1	176	240	-1	240	320	-1	320	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_125	100	0	100	0	-1	0	200	-1	200	5	-1	5	28	-1	28	10	-1	10	200	-1	200	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_124	100	0	100	0	-1	0	640	-1	640	22	-1	22	94	-1	94	10	-1	10	370	-1	370	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_123	100	0	100	0	-1	0	690	-1	690	114	-1	114	150	-1	150	330	-1	330	680	-1	680	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
